TCONS_00000542 ACTG1P20
TCONS_00000543 TMEM222
TCONS_00000544 TMEM222
TCONS_00000545 SYTL1
TCONS_00000546 RP4-752I6.1
TCONS_00000547 FAM76A
TCONS_00000548 FAM76A
TCONS_00000549 FAM76A
TCONS_00000550 RPEP3
TCONS_00000551 FAM76A
TCONS_00000552 STX12
TCONS_00000553 STX12
TCONS_00000554 RP3-426I6.5
TCONS_00000555 STX12
TCONS_00000556 STX12
TCONS_00000557 RP3-426I6.6
TCONS_00000558 RNU6-1245P
TCONS_00000559 PPP1R8
TCONS_00000561 PPP1R8
TCONS_00000562 PPP1R8
TCONS_00000564 THEMIS2
TCONS_00000565 THEMIS2
TCONS_00000567 XKR8
TCONS_00000568 ATPIF1
TCONS_00000569 ATPIF1
TCONS_00000570 ATPIF1
TCONS_00000571 ATPIF1
TCONS_00000572 SESN2
TCONS_00000573 MED18
TCONS_00000574 PHACTR4
TCONS_00000575 PHACTR4
TCONS_00000576 PHACTR4
TCONS_00000577 PHACTR4
TCONS_00000578 RP1-308E4.1
TCONS_00000579 RNU6ATAC27P
TCONS_00000580 RCC1
TCONS_00000581 SNHG3
TCONS_00000582 SNHG3
TCONS_00000583 SNHG3
TCONS_00000585 SNORA73B
TCONS_00000586 RCC1
TCONS_00000587 RCC1
TCONS_00000588 RCC1
TCONS_00000589 RCC1
TCONS_00000591 TRNAU1AP
TCONS_00000592 TRNAU1AP
TCONS_00000593 TRNAU1AP
TCONS_00000594 TRNAU1AP
TCONS_00000595 TRNAU1AP
TCONS_00000597 TRNAU1AP
TCONS_00000598 RAB42
TCONS_00000599 RAB42
TCONS_00000600 RNU11
TCONS_00000601 GMEB1
TCONS_00000602 GMEB1
TCONS_00000603 GMEB1
TCONS_00000604 YTHDF2
TCONS_00000605 YTHDF2
TCONS_00000606 YTHDF2
TCONS_00000610 EPB41
TCONS_00000611 PTPRU
TCONS_00000612 PTPRU
TCONS_00000613 PTPRU
TCONS_00000614 PTPRU
TCONS_00000615 MATN1-AS1
TCONS_00000616 RP11-201O14.1
TCONS_00000617 ZCCHC17
TCONS_00000618 ZCCHC17
TCONS_00000620 ZCCHC17
TCONS_00000621 ZCCHC17
TCONS_00000622 SERINC2
TCONS_00000624 LINC01226
TCONS_00000625 TINAGL1
TCONS_00000627 TINAGL1
TCONS_00000628 TINAGL1
TCONS_00000629 TINAGL1
TCONS_00000630 TINAGL1
TCONS_00000631 TINAGL1
TCONS_00000632 TINAGL1
TCONS_00000633 TINAGL1
TCONS_00000634 TINAGL1
TCONS_00000636 RP4-534N18.2
TCONS_00000637 KHDRBS1
TCONS_00000638 KHDRBS1
TCONS_00000639 KHDRBS1
TCONS_00000640 TMEM39B
TCONS_00000641 TMEM39B
TCONS_00000643 MIR5585
TCONS_00000644 KPNA6
TCONS_00000645 KPNA6
TCONS_00000646 TXLNA
TCONS_00000647 TXLNA
TCONS_00000648 CCDC28B
TCONS_00000649 CCDC28B
TCONS_00000650 IQCC
TCONS_00000651 IQCC
TCONS_00000652 IQCC
TCONS_00000653 EIF3I
TCONS_00000654 EIF3I
TCONS_00000656 FAM167B
TCONS_00000657 HDAC1
TCONS_00000659 HDAC1
TCONS_00000660 HDAC1
TCONS_00000662 HDAC1
TCONS_00000663 HDAC1
TCONS_00000664 TSSK3
TCONS_00000665 ZBTB8A
TCONS_00000666 ZBTB8A
TCONS_00000667 RBBP4
TCONS_00000668 RBBP4
TCONS_00000669 RBBP4
TCONS_00000670 RBBP4
TCONS_00000671 RBBP4
TCONS_00000672 RBBP4
TCONS_00000673 RBBP4
TCONS_00000674 KIAA1522
TCONS_00000675 KIAA1522
TCONS_00000676 KIAA1522
TCONS_00000678 S100PBP
TCONS_00000679 S100PBP
TCONS_00000680 S100PBP
TCONS_00000681 RP5-1174N9.2
TCONS_00000684 RP11-131M11.3
TCONS_00000686 ZNF362
TCONS_00000690 ZNF362
TCONS_00000692 ZNF362
TCONS_00000695 RP11-415J8.3
TCONS_00000696 ZSCAN20
TCONS_00000697 ZSCAN20
TCONS_00000699 GJB5
TCONS_00000700 GJA4
TCONS_00000701 GJA4
TCONS_00000702 RP5-997D16.2
TCONS_00000703 ZMYM1
TCONS_00000704 ZMYM1
TCONS_00000705 ZMYM4
TCONS_00000708 SNORA62
TCONS_00000709 RPL5P4
TCONS_00000710 ZMYM4
TCONS_00000711 NCDN
TCONS_00000712 NCDN
TCONS_00000713 AGO4
TCONS_00000715 AGO1
TCONS_00000716 AGO3
TCONS_00000717 AGO3
TCONS_00000718 AGO3
TCONS_00000719 AGO3
TCONS_00000720 ADPRHL2
TCONS_00000721 MAP7D1
TCONS_00000722 MAP7D1
TCONS_00000723 MAP7D1
TCONS_00000724 MAP7D1
TCONS_00000725 MAP7D1
TCONS_00000728 MAP7D1
TCONS_00000730 MAP7D1
TCONS_00000731 THRAP3
TCONS_00000738 SH3D21
TCONS_00000739 ZC3H12A
TCONS_00000742 FTH1P1
TCONS_00000743 DNALI1
TCONS_00000744 DNALI1
TCONS_00000745 CDCA8
TCONS_00000746 CDCA8
TCONS_00000747 C1orf122
TCONS_00000748 C1orf122
TCONS_00000749 RP11-109P14.8
TCONS_00000750 UTP11
TCONS_00000751 UTP11
TCONS_00000752 UTP11
TCONS_00000754 AKIRIN1
TCONS_00000755 AKIRIN1
TCONS_00000757 NDUFS5
TCONS_00000758 NDUFS5
TCONS_00000760 MACF1
TCONS_00000763 RP11-416A14.1
TCONS_00000764 MACF1
TCONS_00000766 MACF1
TCONS_00000767 MACF1
TCONS_00000768 MACF1
TCONS_00000769 MACF1
TCONS_00000770 MACF1
TCONS_00000772 MACF1
TCONS_00000774 MACF1
TCONS_00000776 MACF1
TCONS_00000777 MACF1
TCONS_00000779 MACF1
TCONS_00000780 MACF1
TCONS_00000781 MACF1
TCONS_00000782 PPIE
TCONS_00000783 PPIE
TCONS_00000784 PPIE
TCONS_00000785 PPIE
TCONS_00000786 PPIE
TCONS_00000787 PPIE
TCONS_00000788 PPIE
TCONS_00000790 PPIE
TCONS_00000791 MFSD2A
TCONS_00000792 MFSD2A
TCONS_00000793 MFSD2A
TCONS_00000794 MFSD2A
TCONS_00000795 MFSD2A
TCONS_00000796 RP3-342P20.2
TCONS_00000797 MFSD2A
TCONS_00000798 MFSD2A
TCONS_00000799 MFSD2A
TCONS_00000800 MFSD2A
TCONS_00000801 CAP1
TCONS_00000804 CAP1
TCONS_00000805 CAP1
TCONS_00000806 CAP1
TCONS_00000807 CAP1
TCONS_00000808 CAP1
TCONS_00000809 CAP1
TCONS_00000810 CAP1
TCONS_00000811 RLF
TCONS_00000812 RNU6-1237P
TCONS_00000813 ZMPSTE24
TCONS_00000814 SMAP2
TCONS_00000816 RP1-228H13.5
TCONS_00000817 ZFP69
TCONS_00000818 EXO5
TCONS_00000819 EXO5
TCONS_00000820 EXO5
TCONS_00000822 ZNF684
TCONS_00000823 ZNF684
TCONS_00000824 NFYC
TCONS_00000825 NFYC
TCONS_00000826 NFYC
TCONS_00000827 NFYC
TCONS_00000828 NFYC
TCONS_00000829 NFYC
TCONS_00000830 NFYC
TCONS_00000833 NFYC
TCONS_00000835 NFYC
TCONS_00000836 NFYC
TCONS_00000837 CTPS1
TCONS_00000839 CTPS1
TCONS_00000840 RPL23AP17
TCONS_00000841 FOXO6
TCONS_00000842 RIMKLA
TCONS_00000843 PPCS
TCONS_00000844 PPCS
TCONS_00000845 PPCS
TCONS_00000846 PPCS
TCONS_00000847 PPCS
TCONS_00000848 PPCS
TCONS_00000850 PPCS
TCONS_00000851 PPIH
TCONS_00000853 PPIH
TCONS_00000855 PPIH
TCONS_00000857 PPIH
TCONS_00000859 YBX1
TCONS_00000860 YBX1
TCONS_00000861 YBX1
TCONS_00000862 YBX1
TCONS_00000863 C1orf50
TCONS_00000864 C1orf50
TCONS_00000865 ERMAP
TCONS_00000866 ERMAP
TCONS_00000868 ERMAP
TCONS_00000869 ERMAP
TCONS_00000870 ZNF691
TCONS_00000871 ZNF691
TCONS_00000872 ZNF691
TCONS_00000874 SLC2A1-AS1
TCONS_00000875 SLC2A1-AS1
TCONS_00000876 RNU6-880P
TCONS_00000877 FAM183A
TCONS_00000880 TIE1
TCONS_00000881 TIE1
TCONS_00000882 TIE1
TCONS_00000883 TIE1
TCONS_00000884 CDC20
TCONS_00000885 CDC20
TCONS_00000886 SZT2
TCONS_00000887 SZT2
TCONS_00000888 SZT2
TCONS_00000889 SZT2
TCONS_00000890 SZT2
TCONS_00000892 SZT2
TCONS_00000895 SZT2
TCONS_00000897 SZT2
TCONS_00000898 SZT2
TCONS_00000904 PTPRF
TCONS_00000905 PTPRF
TCONS_00000906 PTPRF
TCONS_00000907 PTPRF
TCONS_00000908 PTPRF
TCONS_00000909 PTPRF
TCONS_00000910 PTPRF
TCONS_00000913 KDM4A
TCONS_00000914 ST3GAL3
TCONS_00000915 U6
TCONS_00000917 ST3GAL3
TCONS_00000918 RP11-184I16.3
TCONS_00000920 MIR6079
TCONS_00000921 ST3GAL3
TCONS_00000923 IPO13
TCONS_00000924 IPO13
TCONS_00000925 IPO13
TCONS_00000926 DPH2
TCONS_00000927 DPH2
TCONS_00000929 DPH2
TCONS_00000930 ATP6V0B
TCONS_00000931 ATP6V0B
TCONS_00000932 ATP6V0B
TCONS_00000933 ATP6V0B
TCONS_00000934 ATP6V0B
TCONS_00000935 ATP6V0B
TCONS_00000936 ATP6V0B
TCONS_00000937 B4GALT2
TCONS_00000938 B4GALT2
TCONS_00000939 CCDC24
TCONS_00000940 CCDC24
TCONS_00000942 DMAP1
TCONS_00000943 DMAP1
TCONS_00000944 DMAP1
TCONS_00000947 RNF220
TCONS_00000948 RNF220
TCONS_00000949 RNF220
TCONS_00000952 RNF220
TCONS_00000953 RNF220
TCONS_00000954 RNF220
TCONS_00000955 RNF220
TCONS_00000956 RNF220
TCONS_00000957 KIF2C
TCONS_00000958 RPS8
TCONS_00000959 RPS8
TCONS_00000960 RPS8
TCONS_00000961 RPS8
TCONS_00000962 RPS8
TCONS_00000963 SNORD46
TCONS_00000964 RPS8
TCONS_00000965 RPS8
TCONS_00000966 SNORD38A
TCONS_00000967 RPS8
TCONS_00000969 PLK3
TCONS_00000970 PLK3
TCONS_00000971 PLK3
TCONS_00000973 PLK3
TCONS_00000975 PLK3
TCONS_00000980 BTBD19
TCONS_00000983 CCNB1IP1P1
TCONS_00000984 UROD
TCONS_00000985 UROD
