gene_id,logFC,unshrunk.logFC,logCPM,PValue,FDR,BH,BY,bf
GADD45B,0.911135077713204,0.911298373900981,1.80381884273011,0.00175429637810431,0.0158766966118759,0.0158766966118759,0.161990006639143,1
ZBTB21,0.746408330039276,0.746544869209333,2.08336727298584,0.00175945092830994,0.0158767753277353,0.0158767753277353,0.161990809777408,1
CHD2,-0.716796052804278,-0.716802483694701,7.1282066812438,0.00175961706808136,0.0158767753277353,0.0158767753277353,0.161990809777408,1
LMCD1,0.890458584501057,0.89079491271083,0.99612453914123,0.00175990944219443,0.0158767753277353,0.0158767753277353,0.161990809777408,1
CDR2,-0.90361026787246,-0.903653375343399,4.62569892118081,0.0017608098792416,0.0158767753277353,0.0158767753277353,0.161990809777408,1
CTC-479C5.12,0.802936322463941,0.803122833149574,1.5725959873014,0.00176091469407051,0.0158767753277353,0.0158767753277353,0.161990809777408,1
FSTL3,1.3978483618597,1.40226689514684,-2.22282484906938,0.0017625226908471,0.0158767753277353,0.0158767753277353,0.161990809777408,1
PIGF,-0.70110486797581,-0.701177381258167,3.73587769479105,0.00176332498992591,0.0158767753277353,0.0158767753277353,0.161990809777408,1
MTUS1,0.887142584563825,0.88730273278311,1.92062538022241,0.00176599616699804,0.0158767753277353,0.0158767753277353,0.161990809777408,1
ZSWIM5,0.730702870130043,0.731940358876513,-0.848498277268585,0.00176604285923966,0.0158767753277353,0.0158767753277353,0.161990809777408,1
TWSG1,-1.04603269948126,-1.0460473752867,6.79814665919905,0.00176782905229558,0.0158767753277353,0.0158767753277353,0.161990809777408,1
ZNF839,0.803091230355368,0.80331663855321,1.16791439374984,0.00176807314895623,0.0158767753277353,0.0158767753277353,0.161990809777408,1
FCHSD2,-0.816090550112665,-0.816104041036044,6.016996098505,0.00176940992552109,0.0158767753277353,0.0158767753277353,0.161990809777408,1
NPR2,1.58518632807106,1.588706827778,-1.71502967940093,0.0017697796148729,0.0158767753277353,0.0158767753277353,0.161990809777408,1
TRAM1,-0.8027793224295,-0.802781089922553,9.34366418044623,0.00177057605476037,0.0158767753277353,0.0158767753277353,0.161990809777408,1
FANCL,-1.04112877185429,-1.04115761175939,5.89040258735022,0.00177102202557506,0.0158767753277353,0.0158767753277353,0.161990809777408,1
PLEKHO1,-0.792388691495418,-0.79239180889162,8.35092657090356,0.00177107262731833,0.0158767753277353,0.0158767753277353,0.161990809777408,1
PLCXD2,1.14555902905651,1.14738645243074,-1.44732291538286,0.00177537892907585,0.015901226151632,0.015901226151632,0.162240281643136,1
CDC16,-0.71418533358599,-0.71419622994066,6.41706199230019,0.00177665924382164,0.015901226151632,0.015901226151632,0.162240281643136,1
